                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.1878,                 1.0554,                 1.4887,                 1.2564,                 1.2678,                 1.5037,                0.86653,                0.81467,                0.92026,                 0.6467,                 1.0248,                0.62751,                 1.5987,                 1.0505,                0.60094,                 1.6082,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.1869,                 1.0664,                 1.4929,                 1.2511,                 1.2651,                 1.5067,                 0.8553,                0.85393,                0.92929,                0.67674,                0.91569,                0.59349,                 1.4862,                0.97264,                0.55816,                  1.532,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.1762,                 1.0446,                 1.4727,                 1.2375,                 1.2448,                  1.492,                0.82159,                0.82576,                0.90027,                0.65904,                0.93171,                0.63998,                    1.5,                0.97762,                0.65608,                 1.5316,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.1748,                 1.0409,                  1.473,                 1.2429,                 1.2197,                 1.4884,                0.81519,                0.85729,                0.90658,                 0.6698,                0.89482,                 0.6319,                 1.4787,                0.95401,                0.63289,                 1.5336,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.1745,                 1.0599,                 1.4783,                 1.2355,                 1.2647,                 1.4909,                0.80008,                0.79646,                0.89183,                0.65224,                 0.9333,                0.66872,                 1.4998,                0.97068,                 0.7031,                 1.5082,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.1744,                 1.0513,                 1.4777,                  1.233,                 1.2523,                 1.4901,                0.80705,                0.82789,                 0.8954,                0.65437,                0.92602,                0.64899,                 1.4898,                0.97596,                 0.6309,                 1.5147,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.1819,                 1.0512,                 1.4859,                 1.2411,                 1.2437,                 1.4944,                0.84332,                0.84356,                0.91599,                0.67903,                0.88043,                0.60647,                 1.4523,                0.94074,                0.58313,                 1.5067,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.1504,                 1.0221,                 1.4645,                 1.2109,                 1.2131,                 1.4796,                0.83185,                0.82343,                0.90741,                0.67396,                0.87918,                0.57996,                 1.4529,                0.91821,                0.62031,                 1.4837,               0.000948,               0.000948,               0.000948
                     71,                 1.1585,                  1.013,                 1.4687,                 1.2305,                  1.191,                 1.4839,                 0.8433,                0.80751,                0.90286,                0.67599,                0.86467,                0.60696,                  1.432,                0.90664,                0.63481,                 1.4587,             0.00094093,             0.00094093,             0.00094093
                     72,                 1.1384,                 1.0109,                 1.4523,                 1.1955,                 1.2155,                 1.4623,                0.83252,                0.80727,                0.90196,                 0.6673,                0.90291,                0.63501,                 1.4807,                0.94198,                0.66587,                 1.5048,             0.00093385,             0.00093385,             0.00093385
